PID, Date, Time, RunType, Scenario, Trial, Task, Cognitive, Visual, InputEvent, ElapsedTime, Duration, N_OptimalChoice, R_FirstTry, Notes
xxx,7/1/2015,10:19:24,Main Run,1B,1,TDT Short,NA,NA,Start Run,10:19:24.82,63571342764.823,NA,NA,
xxx,7/1/2015,10:19:30,Main Run,1B,1,TDT Short,NA,NA,chime,0:00:05.23,5.239,NA,NA,
xxx,7/1/2015,10:19:33,Main Run,1B,2,Nav,Easy,Easy,(phase) Listening Start,0:00:08.90,3.665,NA,NA,
xxx,7/1/2015,10:19:33,Main Run,1B,2,Nav,Easy,Easy,Jump to trial 2,0:00:00.00,-8.904,NA,NA,
xxx,7/1/2015,10:19:35,Main Run,1B,2,Nav,Easy,Easy,(phase) Listening Stop,0:00:01.12,1.124,NA,NA,
xxx,7/1/2015,10:19:35,Main Run,1B,2,Nav,Easy,Easy,(phase) Speaking Start,0:00:01.13,0.011,NA,NA,
xxx,7/1/2015,10:19:39,Main Run,1B,2,Nav,Easy,Easy,(phase) Speaking Stop,0:00:05.50,4.368,NA,NA,
xxx,7/1/2015,10:19:39,Main Run,1B,2,Nav,Easy,Easy,(btn) command incorrect,0:00:05.51,0.017,NA,NA,
xxx,7/1/2015,10:19:44,Main Run,1B,3,Nav,Easy,Easy,(phase) Listening Start,0:00:10.53,5.019,NA,NA,
xxx,7/1/2015,10:19:45,Main Run,1B,3,Nav,Easy,Easy,(phase) Listening Stop,0:00:11.67,1.137,NA,NA,
xxx,7/1/2015,10:19:45,Main Run,1B,3,Nav,Easy,Easy,(phase) Speaking Start,0:00:11.68,0.012,NA,NA,
xxx,7/1/2015,10:19:49,Main Run,1B,3,Nav,Easy,Easy,(phase) Speaking Stop,0:00:15.59,3.902,NA,NA,
xxx,7/1/2015,10:19:49,Main Run,1B,3,Nav,Easy,Easy,(btn) command incorrect,0:00:15.60,0.017,NA,NA,
xxx,7/1/2015,10:19:54,Main Run,1B,4,Nav,Easy,Easy,(phase) Listening Start,0:00:20.63,5.025,NA,NA,
xxx,7/1/2015,10:19:55,Main Run,1B,4,Nav,Easy,Easy,(phase) Listening Stop,0:00:21.76,1.137,NA,NA,
xxx,7/1/2015,10:19:55,Main Run,1B,4,Nav,Easy,Easy,(phase) Speaking Start,0:00:21.78,0.012,NA,NA,
xxx,7/1/2015,10:20:02,Main Run,1B,4,Nav,Easy,Easy,(phase) Speaking Stop,0:00:28.87,7.096,NA,NA,
xxx,7/1/2015,10:20:02,Main Run,1B,4,Nav,Easy,Easy,(btn) command incorrect,0:00:28.89,0.016,NA,NA,
xxx,7/1/2015,10:20:07,Main Run,1B,5,Nav,Easy,Hard,(phase) Listening Start,0:00:33.91,5.021,NA,NA,
xxx,7/1/2015,10:20:08,Main Run,1B,5,Nav,Easy,Hard,(phase) Listening Stop,0:00:35.05,1.138,NA,NA,
xxx,7/1/2015,10:20:08,Main Run,1B,5,Nav,Easy,Hard,(phase) Speaking Start,0:00:35.06,0.011,NA,NA,
xxx,7/1/2015,10:20:13,Main Run,1B,5,Nav,Easy,Hard,(phase) Speaking Stop,0:00:39.17,4.111,NA,NA,
xxx,7/1/2015,10:20:13,Main Run,1B,5,Nav,Easy,Hard,(btn) command incorrect,0:00:39.19,0.024,NA,NA,
xxx,7/1/2015,10:20:18,Main Run,1B,6,Nav,Easy,Hard,(phase) Listening Start,0:00:44.21,5.018,NA,NA,
xxx,7/1/2015,10:20:19,Main Run,1B,6,Nav,Easy,Hard,(phase) Listening Stop,0:00:45.35,1.141,NA,NA,
xxx,7/1/2015,10:20:19,Main Run,1B,6,Nav,Easy,Hard,(phase) Speaking Start,0:00:45.37,0.016,NA,NA,
