PID, Date, Time, RunType, Scenario, Trial, Task, Cognitive, Visual, InputEvent, ElapsedTime, Duration, N_OptimalChoice, R_FirstTry, Notes
xxx,7/10/2015,15:31:11,Practice,NA,1,Nav,Easy,Easy,Start Run,15:31:11.31,63572139071.318,NA,NA,
xxx,7/10/2015,15:31:11,Practice,NA,1,Nav,Easy,Easy,(phase) Listening Start,15:31:11.33,63572139071.33,NA,NA,
xxx,7/10/2015,15:31:12,Practice,NA,1,Nav,Easy,Easy,(phase) Listening Stop,0:00:01.44,1.447,NA,NA,
xxx,7/10/2015,15:31:12,Practice,NA,1,Nav,Easy,Easy,(phase) Speaking Start,0:00:01.45,1.454,NA,NA,
xxx,7/10/2015,15:31:15,Practice,NA,1,Nav,Easy,Easy,(phase) Speaking Stop,0:00:03.94,3.942,NA,NA,
xxx,7/10/2015,15:31:15,Practice,NA,1,Nav,Easy,Easy,(btn) command correct perfect,0:00:03.94,3.949,NA,NA,
xxx,7/10/2015,15:31:15,Practice,NA,1,Nav,Easy,Easy,(phase) Reading Start,0:00:04.18,4.186,NA,NA,
xxx,7/10/2015,15:31:20,Practice,NA,1,Nav,Easy,Easy,(phase) Reading Stop,0:00:09.35,9.357,NA,NA,
xxx,7/10/2015,15:31:20,Practice,NA,1,Nav,Easy,Easy,(btn) line 1,0:00:09.36,9.364,yes,NA,
xxx,7/10/2015,15:31:20,Practice,NA,1,Nav,Easy,Easy,show confirmation,0:00:09.37,9.377,NA,NA,
xxx,7/10/2015,15:31:25,Practice,NA,2,Nav,Easy,Easy,(phase) Listening Start,0:00:14.38,5.006,NA,NA,
xxx,7/10/2015,15:31:25,Practice,NA,2,Nav,Easy,Easy,start trial 2,0:00:14.41,0.027,NA,NA,
xxx,7/10/2015,15:31:26,Practice,NA,2,Nav,Easy,Easy,(phase) Listening Stop,0:00:15.53,1.124,NA,NA,
xxx,7/10/2015,15:31:26,Practice,NA,2,Nav,Easy,Easy,(phase) Speaking Start,0:00:15.54,0.009,NA,NA,
PID, Date, Time, RunType, Scenario, Trial, Task, Cognitive, Visual, InputEvent, ElapsedTime, Duration, N_OptimalChoice, R_FirstTry, Notes
xxx,7/10/2015,15:45:43,Practice,NA,1,Nav,Easy,Easy,Start Run,15:45:43.25,63572139943.252,NA,NA,
xxx,7/10/2015,15:45:43,Practice,NA,1,Nav,Easy,Easy,(phase) Listening Start,15:45:43.27,63572139943.275,NA,NA,
xxx,7/10/2015,15:45:44,Practice,NA,1,Nav,Easy,Easy,(phase) Listening Stop,0:00:01.32,1.326,NA,NA,
xxx,7/10/2015,15:45:44,Practice,NA,1,Nav,Easy,Easy,(phase) Speaking Start,0:00:01.33,1.332,NA,NA,
xxx,7/10/2015,15:45:46,Main Run,1A,1,TDT Long,NA,NA,change scenario,0:00:03.49,3.493,NA,NA,
