PID, Date, Time, RunType, Scenario, Trial, Task, Cognitive, Visual, InputEvent, ElapsedTime, Duration, N_OptimalChoice, R_FirstTry, Notes
xxx,7/3/2015,11:18:54,Main Run,1A,1,TDT Long,NA,NA,Start Run,11:18:54.49,63571519134.496,NA,NA,
xxx,7/3/2015,11:18:59,Main Run,1A,1,TDT Long,NA,NA,chime,0:00:05.01,5.017,NA,NA,
xxx,7/3/2015,11:21:00,Main Run,1A,1,TDT Long,NA,NA,Start Run,11:21:00.80,63571519260.807,NA,NA,
xxx,7/3/2015,11:21:05,Main Run,1A,1,TDT Long,NA,NA,chime,0:00:05.01,5.013,NA,NA,
xxx,7/3/2015,11:25:48,Main Run,1A,1,TDT Long,NA,NA,Start Run,0:00:32.84,32.841,NA,NA,
xxx,7/3/2015,11:25:53,Main Run,1A,1,TDT Long,NA,NA,chime,0:00:05.01,5.012,NA,NA,
xxx,7/3/2015,11:25:55,Main Run,1A,2,Nav,Easy,Easy,(phase) Listening Start,0:00:06.46,1.453,NA,NA,
xxx,7/3/2015,11:25:55,Main Run,1A,2,Nav,Easy,Easy,Jump to trial 2,0:00:00.00,-6.465,NA,NA,
xxx,7/3/2015,11:25:56,Main Run,1A,2,Nav,Easy,Easy,(phase) Listening Stop,0:00:01.11,1.114,NA,NA,
xxx,7/3/2015,11:25:56,Main Run,1A,2,Nav,Easy,Easy,(phase) Speaking Start,0:00:01.13,0.017,NA,NA,
xxx,7/3/2015,11:26:02,Main Run,1A,2,Nav,Easy,Easy,(phase) Speaking Stop,0:00:06.64,5.518,NA,NA,
xxx,7/3/2015,11:26:02,Main Run,1A,2,Nav,Easy,Easy,(btn) command correct perfect,0:00:06.66,0.012,NA,NA,
xxx,7/3/2015,11:26:02,Main Run,1A,2,Nav,Easy,Easy,(phase) Reading Start,0:00:06.68,0.022,NA,NA,
xxx,7/3/2015,11:26:06,Main Run,1A,2,Nav,Easy,Easy,(phase) Reading Stop,0:00:10.68,3.998,NA,NA,
xxx,7/3/2015,11:26:06,Main Run,1A,2,Nav,Easy,Easy,(btn) line 1,0:00:10.69,0.012,yes,NA,
xxx,7/3/2015,11:26:06,Main Run,1A,2,Nav,Easy,Easy,show confirmation,0:00:10.71,0.02,NA,NA,
xxx,7/3/2015,11:26:11,Main Run,1A,3,Nav,Easy,Easy,(phase) Listening Start,0:00:15.73,5.017,NA,NA,
xxx,7/3/2015,11:26:11,Main Run,1A,3,Nav,Easy,Easy,start trial 3,0:00:15.76,0.036,NA,NA,
xxx,7/3/2015,11:26:12,Main Run,1A,3,Nav,Easy,Easy,(phase) Listening Stop,0:00:16.87,1.113,NA,NA,
xxx,7/3/2015,11:26:12,Main Run,1A,3,Nav,Easy,Easy,(phase) Speaking Start,0:00:16.89,0.015,NA,NA,
xxx,7/3/2015,11:26:16,Main Run,1A,3,Nav,Easy,Easy,(phase) Speaking Stop,0:00:21.29,4.404,NA,NA,
xxx,7/3/2015,11:26:16,Main Run,1A,3,Nav,Easy,Easy,(btn) command correct perfect,0:00:21.31,0.012,NA,NA,
xxx,7/3/2015,11:26:16,Main Run,1A,3,Nav,Easy,Easy,(phase) Reading Start,0:00:21.33,0.022,NA,NA,
xxx,7/3/2015,11:26:21,Main Run,1A,3,Nav,Easy,Easy,(phase) Reading Stop,0:00:26.12,4.789,NA,NA,
xxx,7/3/2015,11:26:21,Main Run,1A,3,Nav,Easy,Easy,(btn) line 5,0:00:26.13,0.013,no,NA,
xxx,7/3/2015,11:26:21,Main Run,1A,3,Nav,Easy,Easy,show confirmation,0:00:26.15,0.019,NA,NA,
xxx,7/3/2015,11:26:26,Main Run,1A,4,Nav,Easy,Easy,(phase) Listening Start,0:00:31.16,5.016,NA,NA,
xxx,7/3/2015,11:26:26,Main Run,1A,4,Nav,Easy,Easy,start trial 4,0:00:31.20,0.033,NA,NA,
xxx,7/3/2015,11:26:27,Main Run,1A,4,Nav,Easy,Easy,(phase) Listening Stop,0:00:32.31,1.118,NA,NA,
