PID, Date, Time, RunType, Scenario, Trial, Task, Cognitive, Visual, InputEvent, ElapsedTime, Duration, N_OptimalChoice, R_FirstTry, Notes
xxx,7/3/2015,11:16:36,Practice,NA,1,Nav,Easy,Easy,Start Run,11:16:36.40,63571518996.408,NA,NA,
xxx,7/3/2015,11:16:36,Practice,NA,1,Nav,Easy,Easy,(phase) Listening Start,11:16:36.41,63571518996.417,NA,NA,
xxx,7/3/2015,11:16:37,Practice,NA,1,Nav,Easy,Easy,(phase) Listening Stop,0:00:01.33,1.334,NA,NA,
xxx,7/3/2015,11:16:37,Practice,NA,1,Nav,Easy,Easy,(phase) Speaking Start,0:00:01.33,1.34,NA,NA,
xxx,7/3/2015,11:16:39,Practice,NA,1,Nav,Easy,Easy,(phase) Speaking Stop,0:00:03.32,3.321,NA,NA,
xxx,7/3/2015,11:16:39,Practice,NA,1,Nav,Easy,Easy,(btn) command correct perfect,0:00:03.32,3.327,NA,NA,
xxx,7/3/2015,11:16:40,Practice,NA,1,Nav,Easy,Easy,(phase) Reading Start,0:00:03.56,3.562,NA,NA,
PID, Date, Time, RunType, Scenario, Trial, Task, Cognitive, Visual, InputEvent, ElapsedTime, Duration, N_OptimalChoice, R_FirstTry, Notes
xxx,7/3/2015,11:25:16,Practice,NA,1,Nav,Easy,Easy,Start Run,11:25:16.01,63571519516.015,NA,NA,
xxx,7/3/2015,11:25:16,Practice,NA,1,Nav,Easy,Easy,(phase) Listening Start,11:25:16.02,63571519516.023,NA,NA,
xxx,7/3/2015,11:25:17,Practice,NA,1,Nav,Easy,Easy,(phase) Listening Stop,0:00:01.33,1.336,NA,NA,
xxx,7/3/2015,11:25:17,Practice,NA,1,Nav,Easy,Easy,(phase) Speaking Start,0:00:01.34,1.343,NA,NA,
xxx,7/3/2015,11:25:26,Practice,NA,1,Nav,Easy,Easy,(phase) Speaking Stop,0:00:10.85,10.859,NA,NA,
xxx,7/3/2015,11:25:26,Practice,NA,1,Nav,Easy,Easy,(btn) command correct perfect,0:00:10.86,10.866,NA,NA,
xxx,7/3/2015,11:25:26,Practice,NA,1,Nav,Easy,Easy,(phase) Reading Start,0:00:10.88,10.888,NA,NA,
xxx,7/3/2015,11:25:33,Practice,NA,1,Nav,Easy,Easy,(phase) Reading Stop,0:00:17.05,17.058,NA,NA,
xxx,7/3/2015,11:25:33,Practice,NA,1,Nav,Easy,Easy,(btn) line 2,0:00:17.06,17.064,no,NA,
xxx,7/3/2015,11:25:33,Practice,NA,1,Nav,Easy,Easy,show confirmation,0:00:17.07,17.077,NA,NA,
xxx,7/3/2015,11:25:38,Practice,NA,2,Nav,Easy,Easy,(phase) Listening Start,0:00:22.08,5.01,NA,NA,
xxx,7/3/2015,11:25:38,Practice,NA,2,Nav,Easy,Easy,start trial 2,0:00:22.11,0.025,NA,NA,
xxx,7/3/2015,11:25:39,Practice,NA,2,Nav,Easy,Easy,(phase) Listening Stop,0:00:23.22,1.116,NA,NA,
xxx,7/3/2015,11:25:39,Practice,NA,2,Nav,Easy,Easy,(phase) Speaking Start,0:00:23.23,0.007,NA,NA,
xxx,7/3/2015,11:25:47,Main Run,1A,1,TDT Long,NA,NA,change scenario,0:00:31.14,31.144,NA,NA,
xxx,7/3/2015,11:26:32,Practice,NA,1,Nav,Easy,Easy,Start Run,0:00:36.68,36.689,NA,NA,
xxx,7/3/2015,11:26:32,Practice,NA,1,Nav,Easy,Easy,(phase) Listening Start,0:00:36.69,36.695,NA,NA,
xxx,7/3/2015,11:26:33,Practice,NA,1,Nav,Easy,Easy,(phase) Listening Stop,0:00:01.11,1.117,NA,NA,
xxx,7/3/2015,11:26:33,Practice,NA,1,Nav,Easy,Easy,(phase) Speaking Start,0:00:01.12,1.125,NA,NA,
xxx,7/3/2015,11:26:37,Practice,NA,1,Nav,Easy,Easy,(phase) Speaking Stop,0:00:05.57,5.575,NA,NA,
xxx,7/3/2015,11:26:37,Practice,NA,1,Nav,Easy,Easy,(btn) command correct perfect,0:00:05.58,5.582,NA,NA,
xxx,7/3/2015,11:26:37,Practice,NA,1,Nav,Easy,Easy,(phase) Reading Start,0:00:05.60,5.602,NA,NA,
xxx,7/3/2015,11:26:40,Practice,NA,1,Nav,Easy,Easy,(phase) Reading Stop,0:00:08.77,8.774,NA,NA,
xxx,7/3/2015,11:26:40,Practice,NA,1,Nav,Easy,Easy,(btn) line 3,0:00:08.78,8.781,no,NA,
xxx,7/3/2015,11:26:41,Practice,NA,1,Nav,Easy,Easy,show confirmation,0:00:09.00,9.009,NA,NA,
xxx,7/3/2015,11:26:46,Practice,NA,2,Nav,Easy,Easy,(phase) Listening Start,0:00:14.01,5.011,NA,NA,
xxx,7/3/2015,11:26:46,Practice,NA,2,Nav,Easy,Easy,start trial 2,0:00:14.04,0.03,NA,NA,
xxx,7/3/2015,11:26:47,Practice,NA,2,Nav,Easy,Easy,(phase) Listening Stop,0:00:15.16,1.112,NA,NA,
xxx,7/3/2015,11:26:47,Practice,NA,2,Nav,Easy,Easy,(phase) Speaking Start,0:00:15.16,0.008,NA,NA,
xxx,7/3/2015,11:26:50,Practice,NA,2,Nav,Easy,Easy,(phase) Speaking Stop,0:00:18.74,3.574,NA,NA,
xxx,7/3/2015,11:26:50,Practice,NA,2,Nav,Easy,Easy,(btn) command incorrect,0:00:18.75,0.015,NA,NA,
xxx,7/3/2015,11:26:55,Practice,NA,3,Nav,Easy,Hard,(phase) Listening Start,0:00:23.76,5.008,NA,NA,
xxx,7/3/2015,11:26:57,Practice,NA,3,Nav,Easy,Hard,(phase) Listening Stop,0:00:24.90,1.142,NA,NA,
xxx,7/3/2015,11:26:57,Practice,NA,3,Nav,Easy,Hard,(phase) Speaking Start,0:00:24.91,0.007,NA,NA,
xxx,7/3/2015,11:27:00,Practice,NA,3,Nav,Easy,Hard,(phase) Speaking Stop,0:00:28.24,3.332,NA,NA,
xxx,7/3/2015,11:27:00,Practice,NA,3,Nav,Easy,Hard,(btn) command correct perfect,0:00:28.25,0.006,NA,NA,
xxx,7/3/2015,11:27:00,Practice,NA,3,Nav,Easy,Hard,(phase) Reading Start,0:00:28.27,0.025,NA,NA,
xxx,7/3/2015,11:27:08,Practice,NA,3,Nav,Easy,Hard,(phase) Reading Stop,0:00:36.45,8.177,NA,NA,
xxx,7/3/2015,11:27:08,Practice,NA,3,Nav,Easy,Hard,(btn) line 4,0:00:36.46,0.007,no,NA,
xxx,7/3/2015,11:27:08,Practice,NA,3,Nav,Easy,Hard,show confirmation,0:00:36.47,0.014,NA,NA,
xxx,7/3/2015,11:27:13,Practice,NA,4,Nav,Easy,Hard,(phase) Listening Start,0:00:41.48,5.008,NA,NA,
xxx,7/3/2015,11:27:13,Practice,NA,4,Nav,Easy,Hard,start trial 4,0:00:41.51,0.03,NA,NA,
xxx,7/3/2015,11:27:14,Practice,NA,4,Nav,Easy,Hard,(phase) Listening Stop,0:00:42.62,1.113,NA,NA,
xxx,7/3/2015,11:27:14,Practice,NA,4,Nav,Easy,Hard,(phase) Speaking Start,0:00:42.63,0.007,NA,NA,
xxx,7/3/2015,13:54:47,Practice,NA,1,Nav,Easy,Easy,Start Run,13:54:47.00,63571528487.004,NA,NA,
xxx,7/3/2015,13:54:47,Practice,NA,1,Nav,Easy,Easy,(phase) Listening Start,13:54:47.01,63571528487.013,NA,NA,
xxx,7/3/2015,13:54:48,Practice,NA,1,Nav,Easy,Easy,(phase) Listening Stop,0:00:01.32,1.323,NA,NA,
xxx,7/3/2015,13:54:48,Practice,NA,1,Nav,Easy,Easy,(phase) Speaking Start,0:00:01.33,1.331,NA,NA,
xxx,7/3/2015,15:37:07,Practice,NA,1,Nav,Easy,Easy,Start Run,15:37:07.64,63571534627.646,NA,NA,
xxx,7/3/2015,15:37:07,Practice,NA,1,Nav,Easy,Easy,(phase) Listening Start,15:37:07.66,63571534627.661,NA,NA,
xxx,7/3/2015,15:37:09,Practice,NA,1,Nav,Easy,Easy,(phase) Listening Stop,0:00:01.33,1.338,NA,NA,
xxx,7/3/2015,15:37:09,Practice,NA,1,Nav,Easy,Easy,(phase) Speaking Start,0:00:01.35,1.352,NA,NA,
xxx,7/3/2015,15:37:18,Practice,NA,1,Nav,Easy,Easy,(phase) Speaking Stop,0:00:10.68,10.688,NA,NA,
xxx,7/3/2015,15:37:18,Practice,NA,1,Nav,Easy,Easy,(btn) command incorrect,0:00:10.70,10.707,NA,NA,
xxx,7/3/2015,15:37:23,Practice,NA,2,Nav,Easy,Easy,(phase) Listening Start,0:00:15.73,5.025,NA,NA,
xxx,7/3/2015,15:37:24,Practice,NA,2,Nav,Easy,Easy,(phase) Listening Stop,0:00:16.88,1.152,NA,NA,
xxx,7/3/2015,15:37:24,Practice,NA,2,Nav,Easy,Easy,(phase) Speaking Start,0:00:16.89,0.011,NA,NA,
