PID, Date, Time, RunType, Scenario, Trial, Task, Cognitive, Visual, InputEvent, ElapsedTime, Duration, N_OptimalChoice, R_FirstTry, Notes
xxx,7/10/2015,15:32:44,Main Run,1A,1,TDT Long,NA,NA,Start Run,15:32:44.72,63572139164.725,NA,NA,
xxx,7/10/2015,15:32:49,Main Run,1A,1,TDT Long,NA,NA,chime,0:00:05.01,5.016,NA,NA,
xxx,7/10/2015,15:33:22,Main Run,1B,1,TDT Short,NA,NA,change scenario,0:00:37.73,37.732,NA,NA,
xxx,7/10/2015,15:33:24,Main Run,1B,1,TDT Short,NA,NA,Start Run,0:00:40.06,40.067,NA,NA,
xxx,7/10/2015,15:33:29,Main Run,1B,1,TDT Short,NA,NA,chime,0:00:05.00,5.01,NA,NA,
xxx,7/10/2015,15:34:14,Main Run,1B,4,Nav,Easy,Easy,(phase) Listening Start,0:00:49.72,44.712,NA,NA,
xxx,7/10/2015,15:34:14,Main Run,1B,4,Nav,Easy,Easy,Jump to trial 4,0:00:00.00,-49.722,NA,NA,
xxx,7/10/2015,15:34:15,Main Run,1B,4,Nav,Easy,Easy,(phase) Listening Stop,0:00:01.11,1.118,NA,NA,
xxx,7/10/2015,15:34:15,Main Run,1B,4,Nav,Easy,Easy,(phase) Speaking Start,0:00:01.13,0.013,NA,NA,
xxx,7/10/2015,15:34:29,Main Run,1B,5,Nav,Easy,Hard,(phase) Listening Start,0:00:15.28,14.157,NA,NA,
xxx,7/10/2015,15:34:31,Main Run,1B,5,Nav,Easy,Hard,(phase) Listening Stop,0:00:16.42,1.138,NA,NA,
xxx,7/10/2015,15:34:31,Main Run,1B,5,Nav,Easy,Hard,(phase) Speaking Start,0:00:16.43,0.013,NA,NA,
xxx,7/10/2015,15:45:48,Main Run,1B,1,TDT Short,NA,NA,change scenario,0:00:04.95,4.952,NA,NA,
xxx,7/10/2015,15:45:49,Main Run,1B,1,TDT Short,NA,NA,Start Run,0:00:05.98,5.983,NA,NA,
xxx,7/10/2015,15:45:54,Main Run,1B,1,TDT Short,NA,NA,chime,0:00:05.01,5.011,NA,NA,
xxx,7/10/2015,15:45:57,Main Run,1A,1,TDT Long,NA,NA,change scenario,0:00:08.35,8.358,NA,NA,
xxx,7/10/2015,15:49:23,Main Run,1B,1,TDT Short,NA,NA,Start Run,15:49:23.71,63572140163.716,NA,NA,
xxx,7/10/2015,15:49:28,Main Run,1B,1,TDT Short,NA,NA,chime,0:00:05.01,5.014,NA,NA,
xxx,7/10/2015,15:49:31,Main Run,1B,2,Nav,Easy,Easy,(phase) Listening Start,0:00:07.63,2.617,NA,NA,
xxx,7/10/2015,15:49:31,Main Run,1B,2,Nav,Easy,Easy,Jump to trial 2,0:00:00.00,-7.631,NA,NA,
xxx,7/10/2015,15:49:32,Main Run,1B,2,Nav,Easy,Easy,(phase) Listening Stop,0:00:01.11,1.116,NA,NA,
xxx,7/10/2015,15:49:32,Main Run,1B,2,Nav,Easy,Easy,(phase) Speaking Start,0:00:01.12,0.014,NA,NA,
xxx,7/10/2015,15:49:38,Main Run,1B,3,Nav,Easy,Easy,(phase) Listening Start,0:00:07.38,6.256,NA,NA,
xxx,7/10/2015,15:49:39,Main Run,1B,3,Nav,Easy,Easy,(phase) Listening Stop,0:00:08.53,1.151,NA,NA,
xxx,7/10/2015,15:49:39,Main Run,1B,3,Nav,Easy,Easy,(phase) Speaking Start,0:00:08.54,0.012,NA,NA,
xxx,7/10/2015,15:50:46,Main Run,1B,1,TDT Short,NA,NA,Start Run,15:50:46.53,63572140246.539,NA,NA,
xxx,7/10/2015,15:50:51,Main Run,1B,1,TDT Short,NA,NA,chime,0:00:05.01,5.015,NA,NA,
xxx,7/10/2015,15:50:53,Main Run,1B,2,Nav,Easy,Easy,(phase) Listening Start,0:00:07.01,1.997,NA,NA,
xxx,7/10/2015,15:50:53,Main Run,1B,2,Nav,Easy,Easy,Jump to trial 2,0:00:00.00,-7.012,NA,NA,
xxx,7/10/2015,15:50:54,Main Run,1B,2,Nav,Easy,Easy,(phase) Listening Stop,0:00:01.31,1.317,NA,NA,
xxx,7/10/2015,15:50:54,Main Run,1B,2,Nav,Easy,Easy,(phase) Speaking Start,0:00:01.32,0.013,NA,NA,
xxx,7/10/2015,15:51:01,Main Run,1B,3,Nav,Easy,Easy,(phase) Listening Start,0:00:08.00,6.674,NA,NA,
xxx,7/10/2015,15:51:02,Main Run,1B,3,Nav,Easy,Easy,(phase) Listening Stop,0:00:09.14,1.14,NA,NA,
xxx,7/10/2015,15:51:02,Main Run,1B,3,Nav,Easy,Easy,(phase) Speaking Start,0:00:09.16,0.017,NA,NA,
xxx,7/10/2015,15:56:39,Main Run,1B,1,TDT Short,NA,NA,Start Run,15:56:39.85,63572140599.859,NA,NA,
xxx,7/10/2015,15:56:44,Main Run,1B,1,TDT Short,NA,NA,chime,0:00:05.01,5.015,NA,NA,
xxx,7/10/2015,15:57:22,Main Run,1B,1,TDT Short,NA,NA,Start Run,15:57:22.21,63572140642.211,NA,NA,
xxx,7/10/2015,15:57:27,Main Run,1B,1,TDT Short,NA,NA,chime,0:00:05.01,5.014,NA,NA,
