PID, Date, Time, RunType, Scenario, Trial, Task, Cognitive, Visual, InputEvent, ElapsedTime, Duration, N_OptimalChoice, R_FirstTry, Notes
xxx,6/24/2015,17:07:49,Practice,1B,1,TDT Short,NA,NA,Start Run,17:07:49.02,63570762469.024,NA,NA,
xxx,6/24/2015,17:07:54,Practice,1B,1,TDT Short,NA,NA,chime,0:00:05.23,5.236,NA,NA,
xxx,6/24/2015,17:07:56,Practice,1B,2,Nav,Easy,Easy,(phase) Listening Start,0:00:07.08,1.85,NA,NA,
xxx,6/24/2015,17:07:56,Practice,1B,2,Nav,Easy,Easy,Jump to trial 2,0:00:00.00,-7.085,NA,NA,
xxx,6/24/2015,17:07:57,Practice,1B,2,Nav,Easy,Easy,(phase) Listening Stop,0:00:01.12,1.129,NA,NA,
xxx,6/24/2015,17:07:57,Practice,1B,2,Nav,Easy,Easy,(phase) Speaking Start,0:00:01.13,0.008,NA,NA,
xxx,6/24/2015,17:08:03,Practice,1B,2,Nav,Easy,Easy,(phase) Speaking Stop,0:00:07.16,6.031,NA,NA,
xxx,6/24/2015,17:08:03,Practice,1B,2,Nav,Easy,Easy,(btn) command correct perfect,0:00:07.17,0.008,NA,NA,
xxx,6/24/2015,17:08:03,Practice,1B,2,Nav,Easy,Easy,(phase) Reading Start,0:00:07.20,0.031,NA,NA,
xxx,6/24/2015,17:08:11,Practice,1B,14,Nav,Hard,Hard,(phase) Listening Start,0:00:15.35,8.145,NA,NA,
xxx,6/24/2015,17:08:11,Practice,1B,14,Nav,Hard,Hard,Jump to trial 14,0:00:00.00,-15.353,NA,NA,
xxx,6/24/2015,17:08:12,Practice,1B,14,Nav,Hard,Hard,(phase) Listening Stop,0:00:01.11,1.12,NA,NA,
xxx,6/24/2015,17:08:12,Practice,1B,14,Nav,Hard,Hard,(phase) Speaking Start,0:00:01.12,0.007,NA,NA,
xxx,6/24/2015,17:08:21,Practice,1B,13,Nav,Hard,Hard,(phase) Listening Start,0:00:09.77,8.647,NA,NA,
xxx,6/24/2015,17:08:21,Practice,1B,13,Nav,Hard,Hard,Jump to trial 13,0:00:00.00,-9.774,NA,NA,
xxx,6/24/2015,17:08:22,Practice,1B,13,Nav,Hard,Hard,(phase) Listening Stop,0:00:01.11,1.117,NA,NA,
xxx,6/24/2015,17:08:22,Practice,1B,13,Nav,Hard,Hard,(phase) Speaking Start,0:00:01.12,0.013,NA,NA,
xxx,6/24/2015,17:08:31,Practice,1B,12,Nav,Hard,Hard,(phase) Listening Start,0:00:10.08,8.951,NA,NA,
xxx,6/24/2015,17:08:31,Practice,1B,12,Nav,Hard,Hard,Jump to trial 12,0:00:00.00,-10.081,NA,NA,
xxx,6/24/2015,17:08:32,Practice,1B,12,Nav,Hard,Hard,(phase) Listening Stop,0:00:01.12,1.126,NA,NA,
xxx,6/24/2015,17:08:32,Practice,1B,12,Nav,Hard,Hard,(phase) Speaking Start,0:00:01.13,0.009,NA,NA,
xxx,6/24/2015,17:08:43,Practice,1B,11,Nav,Hard,Easy,(phase) Listening Start,0:00:11.74,10.611,NA,NA,
xxx,6/24/2015,17:08:43,Practice,1B,11,Nav,Hard,Easy,Jump to trial 11,0:00:00.00,-11.746,NA,NA,
xxx,6/24/2015,17:08:44,Practice,1B,11,Nav,Hard,Easy,(phase) Listening Stop,0:00:01.12,1.123,NA,NA,
xxx,6/24/2015,17:08:44,Practice,1B,11,Nav,Hard,Easy,(phase) Speaking Start,0:00:01.12,0.007,NA,NA,
xxx,6/24/2015,17:08:54,Practice,1B,12,Nav,Hard,Hard,(phase) Listening Start,0:00:11.11,9.982,NA,NA,
xxx,6/24/2015,17:08:55,Practice,1B,12,Nav,Hard,Hard,(phase) Listening Stop,0:00:12.25,1.141,NA,NA,
xxx,6/24/2015,17:08:55,Practice,1B,12,Nav,Hard,Hard,(phase) Speaking Start,0:00:12.26,0.008,NA,NA,
xxx,6/24/2015,17:09:05,Practice,1B,12,Nav,Hard,Hard,(phase) Speaking Stop,0:00:22.45,10.19,NA,NA,
xxx,6/24/2015,17:09:05,Practice,1B,12,Nav,Hard,Hard,(btn) command correct perfect,0:00:22.46,0.01,NA,NA,
xxx,6/24/2015,17:09:05,Practice,1B,12,Nav,Hard,Hard,(phase) Reading Start,0:00:22.48,0.021,NA,NA,
xxx,6/24/2015,17:09:11,Practice,1B,5,Nav,Easy,Hard,(phase) Listening Start,0:00:28.43,5.954,NA,NA,
xxx,6/24/2015,17:09:11,Practice,1B,5,Nav,Easy,Hard,Jump to trial 5,0:00:00.00,-28.436,NA,NA,
xxx,6/24/2015,17:09:12,Practice,1B,5,Nav,Easy,Hard,(phase) Listening Stop,0:00:01.11,1.115,NA,NA,
xxx,6/24/2015,17:09:12,Practice,1B,5,Nav,Easy,Hard,(phase) Speaking Start,0:00:01.12,0.007,NA,NA,
xxx,6/24/2015,17:09:20,Practice,1B,7,Nav,Easy,Hard,(phase) Listening Start,0:00:09.08,7.958,NA,NA,
xxx,6/24/2015,17:09:20,Practice,1B,7,Nav,Easy,Hard,Jump to trial 7,0:00:00.00,-9.08,NA,NA,
xxx,6/24/2015,17:09:21,Practice,1B,7,Nav,Easy,Hard,(phase) Listening Stop,0:00:01.12,1.125,NA,NA,
xxx,6/24/2015,17:09:21,Practice,1B,7,Nav,Easy,Hard,(phase) Speaking Start,0:00:01.13,0.009,NA,NA,
xxx,6/24/2015,17:09:28,Practice,1B,8,TDT Short,NA,,Jump to trial 8,0:00:00.00,-1.133,NA,NA,
xxx,6/24/2015,17:09:33,Practice,1B,8,TDT Short,NA,,chime,0:00:05.01,5.012,NA,NA,
xxx,6/24/2015,17:09:38,Practice,1B,11,Nav,Hard,Easy,(phase) Listening Start,0:00:10.08,5.07,NA,NA,
xxx,6/24/2015,17:09:38,Practice,1B,11,Nav,Hard,Easy,Jump to trial 11,0:00:00.00,-10.083,NA,NA,
xxx,6/24/2015,17:09:40,Practice,1B,11,Nav,Hard,Easy,(phase) Listening Stop,0:00:01.11,1.116,NA,NA,
xxx,6/24/2015,17:09:40,Practice,1B,11,Nav,Hard,Easy,(phase) Speaking Start,0:00:01.12,0.009,NA,NA,
PID, Date, Time, RunType, Scenario, Trial, Task, Cognitive, Visual, InputEvent, ElapsedTime, Duration, N_OptimalChoice, R_FirstTry, Notes
xxx,6/24/2015,17:10:22,Practice,1B,1,TDT Short,NA,NA,Start Run,17:10:22.35,63570762622.36,NA,NA,
xxx,6/24/2015,17:10:27,Practice,1B,1,TDT Short,NA,NA,chime,0:00:05.01,5.018,NA,NA,
xxx,6/24/2015,17:10:29,Practice,1B,2,Nav,Easy,Easy,(phase) Listening Start,0:00:06.73,1.718,NA,NA,
xxx,6/24/2015,17:10:29,Practice,1B,2,Nav,Easy,Easy,Jump to trial 2,0:00:00.00,-6.735,NA,NA,
xxx,6/24/2015,17:10:30,Practice,1B,2,Nav,Easy,Easy,(phase) Listening Stop,0:00:01.12,1.128,NA,NA,
xxx,6/24/2015,17:10:30,Practice,1B,2,Nav,Easy,Easy,(phase) Speaking Start,0:00:01.13,0.007,NA,NA,
PID, Date, Time, RunType, Scenario, Trial, Task, Cognitive, Visual, InputEvent, ElapsedTime, Duration, N_OptimalChoice, R_FirstTry, Notes
PID, Date, Time, RunType, Scenario, Trial, Task, Cognitive, Visual, InputEvent, ElapsedTime, Duration, N_OptimalChoice, R_FirstTry, Notes
