PID, Date, Time, RunType, Scenario, Trial, Task, Cognitive, Visual, InputEvent, ElapsedTime, Duration, N_OptimalChoice, R_FirstTry, Notes
xxx,6/19/2015,11:10:15,Practice,NA,1,Nav Hard,Easy,Easy,Start Run,11:10:15.01,63570309015.018,NA,NA,
xxx,6/19/2015,11:10:15,Practice,NA,1,Nav Hard,Easy,Easy,(phase) Listening Start,11:10:15.02,63570309015.027,NA,NA,
xxx,6/19/2015,11:10:16,Practice,NA,1,Nav Hard,Easy,Easy,(phase) Listening Stop,0:00:01.33,1.336,NA,NA,
xxx,6/19/2015,11:10:16,Practice,NA,1,Nav Hard,Easy,Easy,(phase) Speaking Start,0:00:01.34,1.342,NA,NA,
xxx,6/19/2015,11:10:26,Practice,NA,1,Nav Hard,Easy,Easy,(phase) Speaking Stop,0:00:11.44,11.442,NA,NA,
xxx,6/19/2015,11:10:26,Practice,NA,1,Nav Hard,Easy,Easy,(btn) command correct perfect,0:00:11.44,11.449,NA,NA,
xxx,6/19/2015,11:10:26,Practice,NA,1,Nav Hard,Easy,Easy,(phase) Reading Start,0:00:11.47,11.471,NA,NA,
xxx,6/19/2015,11:10:37,Practice,NA,1,Nav Hard,Easy,Easy,(phase) Reading Stop,0:00:22.60,22.602,NA,NA,
xxx,6/19/2015,11:10:37,Practice,NA,1,Nav Hard,Easy,Easy,(btn) line 3,0:00:22.61,22.61,yes,NA,
xxx,6/19/2015,11:10:37,Practice,NA,1,Nav Hard,Easy,Easy,show confirmation,0:00:22.62,22.627,NA,NA,
xxx,6/19/2015,11:10:42,Practice,NA,2,Nav Easy,Weird,Easy,(phase) Listening Start,0:00:27.63,5.013,NA,NA,
xxx,6/19/2015,11:10:42,Practice,NA,2,Nav Easy,Weird,Easy,start trial 2,0:00:27.73,0.099,NA,NA,
xxx,6/19/2015,11:10:43,Practice,NA,2,Nav Easy,Weird,Easy,(phase) Listening Stop,0:00:28.83,1.093,NA,NA,
xxx,6/19/2015,11:10:43,Practice,NA,2,Nav Easy,Weird,Easy,(phase) Speaking Start,0:00:28.83,0.008,NA,NA,
PID, Date, Time, RunType, Scenario, Trial, Task, Cognitive, Visual, InputEvent, ElapsedTime, Duration, N_OptimalChoice, R_FirstTry, Notes
xxx,6/19/2015,15:50:21,Practice,NA,1,Nav,Easy,Easy,Start Run,15:50:21.11,63570325821.114,NA,NA,
xxx,6/19/2015,15:50:31,Practice,NA,1,Nav,Easy,Easy,(phase) Speaking Stop,0:00:10.01,10.016,NA,NA,
xxx,6/19/2015,15:50:31,Practice,NA,1,Nav,Easy,Easy,(btn) command correct perfect,0:00:10.03,10.031,NA,NA,
xxx,6/19/2015,15:50:31,Practice,NA,1,Nav,Easy,Easy,(phase) Reading Start,0:00:10.06,10.063,NA,NA,
xxx,6/19/2015,15:50:36,Practice,NA,1,Nav,Easy,Easy,(phase) Reading Stop,0:00:15.60,15.6,NA,NA,
xxx,6/19/2015,15:50:36,Practice,NA,1,Nav,Easy,Easy,(btn) line 2,0:00:15.60,15.6,NA,NA,
xxx,6/19/2015,15:50:36,Practice,NA,1,Nav,Easy,Easy,show confirmation,0:00:15.61,15.616,NA,NA,
xxx,6/19/2015,15:50:46,Practice,NA,2,Nav,Easy,Easy,btn-none of the above,0:00:25.77,10.156,NA,NA,
PID, Date, Time, RunType, Scenario, Trial, Task, Cognitive, Visual, InputEvent, ElapsedTime, Duration, N_OptimalChoice, R_FirstTry, Notes
xxx,6/19/2015,15:53:36,Practice,NA,1,Nav Hard,Easy,Easy,Start Run,15:53:36.86,63570326016.862,NA,NA,
xxx,6/19/2015,15:53:36,Practice,NA,1,Nav Hard,Easy,Easy,(phase) Listening Start,15:53:36.86,63570326016.862,NA,NA,
xxx,6/19/2015,15:53:38,Practice,NA,1,Nav Hard,Easy,Easy,(phase) Listening Stop,0:00:01.33,1.337,NA,NA,
xxx,6/19/2015,15:53:38,Practice,NA,1,Nav Hard,Easy,Easy,(phase) Speaking Start,0:00:01.33,1.337,NA,NA,
xxx,6/19/2015,15:53:43,Practice,NA,1,Nav Hard,Easy,Easy,(phase) Speaking Stop,0:00:06.17,6.18,NA,NA,
xxx,6/19/2015,15:53:43,Practice,NA,1,Nav Hard,Easy,Easy,(btn) command correct perfect,0:00:06.17,6.18,NA,NA,
xxx,6/19/2015,15:53:43,Practice,NA,1,Nav Hard,Easy,Easy,(phase) Reading Start,0:00:06.19,6.195,NA,NA,
xxx,6/19/2015,15:53:49,Practice,NA,1,Nav Hard,Easy,Easy,(phase) Reading Stop,0:00:12.11,12.117,NA,NA,
xxx,6/19/2015,15:53:49,Practice,NA,1,Nav Hard,Easy,Easy,(btn) line 2,0:00:12.11,12.117,no,NA,
xxx,6/19/2015,15:53:49,Practice,NA,1,Nav Hard,Easy,Easy,show confirmation,0:00:12.13,12.133,NA,NA,
xxx,6/19/2015,15:53:54,Practice,NA,2,Nav Easy,Easy,Easy,(phase) Listening Start,0:00:17.14,5.016,NA,NA,
xxx,6/19/2015,15:53:54,Practice,NA,2,Nav Easy,Easy,Easy,start trial 2,0:00:17.16,0.015,NA,NA,
PID, Date, Time, RunType, Scenario, Trial, Task, Cognitive, Visual, InputEvent, ElapsedTime, Duration, N_OptimalChoice, R_FirstTry, Notes
xxx,6/19/2015,15:55:03,Practice,NA,1,Nav,Easy,Easy,Start Run,15:55:03.27,63570326103.271,NA,NA,
xxx,6/19/2015,15:55:09,Practice,NA,1,Nav,Easy,Easy,(phase) Speaking Stop,0:00:06.23,6.234,NA,NA,
xxx,6/19/2015,15:55:09,Practice,NA,1,Nav,Easy,Easy,(btn) command correct perfect,0:00:06.23,6.234,NA,NA,
