PID, Date, Time, RunType, Scenario, Trial, Task, Cognitive, Visual, InputEvent, ElapsedTime, Duration, N_OptimalChoice, R_FirstTry, Notes
xxx,6/22/2015,17:46:58,Practice,1A,2,Nav Easy,Easy,Easy,(btn) line 1,0:00:11.75,0.01,yes,NA,
xxx,6/22/2015,17:46:58,Practice,1A,2,Nav Easy,Easy,Easy,show confirmation,0:00:11.77,0.02,NA,NA,
xxx,6/22/2015,17:47:03,Practice,1A,3,Nav Easy,Easy,Easy,(phase) Listening Start,0:00:16.80,5.023,NA,NA,
xxx,6/22/2015,17:47:04,Practice,1A,3,Nav Easy,Easy,Easy,start trial 3,0:00:16.86,0.063,NA,NA,
xxx,6/22/2015,17:47:05,Practice,1A,3,Nav Easy,Easy,Easy,(phase) Listening Stop,0:00:17.97,1.112,NA,NA,
xxx,6/22/2015,17:47:05,Practice,1A,3,Nav Easy,Easy,Easy,(phase) Speaking Start,0:00:17.98,0.011,NA,NA,
xxx,6/22/2015,17:47:10,Practice,1A,3,Nav Easy,Easy,Easy,(phase) Speaking Stop,0:00:22.87,4.889,NA,NA,
xxx,6/22/2015,17:47:10,Practice,1A,3,Nav Easy,Easy,Easy,(btn) command incorrect,0:00:22.89,0.021,NA,NA,
xxx,6/22/2015,17:47:15,Practice,1A,4,Nav Easy,Easy,Easy,(phase) Listening Start,0:00:27.91,5.016,NA,NA,
xxx,6/22/2015,17:47:16,Practice,1A,4,Nav Easy,Easy,Easy,(phase) Listening Stop,0:00:29.07,1.158,NA,NA,
xxx,6/22/2015,17:47:16,Practice,1A,4,Nav Easy,Easy,Easy,(phase) Speaking Start,0:00:29.08,0.009,NA,NA,
PID, Date, Time, RunType, Scenario, Trial, Task, Cognitive, Visual, InputEvent, ElapsedTime, Duration, N_OptimalChoice, R_FirstTry, Notes
xxx,6/22/2015,17:50:07,Practice,1B,1,TDT Short,NA,NA,Start Run,17:50:07.72,63570592207.721,NA,NA,
xxx,6/22/2015,17:50:12,Practice,1B,1,TDT Short,NA,NA,chime,0:00:05.01,5.019,NA,NA,
xxx,6/22/2015,17:50:17,Practice,1B,2,Nav,Easy,Easy,(phase) Listening Start,0:00:09.66,4.65,NA,NA,
xxx,6/22/2015,17:50:17,Practice,1B,2,Nav,Easy,Easy,Jump to trial 2,0:00:00.00,-9.669,NA,NA,
xxx,6/22/2015,17:50:18,Practice,1B,2,Nav,Easy,Easy,(phase) Listening Stop,0:00:01.11,1.118,NA,NA,
xxx,6/22/2015,17:50:18,Practice,1B,2,Nav,Easy,Easy,(phase) Speaking Start,0:00:01.12,0.011,NA,NA,
xxx,6/22/2015,17:50:23,Practice,1B,2,Nav,Easy,Easy,(phase) Speaking Stop,0:00:06.37,5.245,NA,NA,
xxx,6/22/2015,17:50:23,Practice,1B,2,Nav,Easy,Easy,(btn) command correct perfect,0:00:06.38,0.011,NA,NA,
xxx,6/22/2015,17:50:23,Practice,1B,2,Nav,Easy,Easy,(phase) Reading Start,0:00:06.40,0.025,NA,NA,
xxx,6/22/2015,17:50:28,Practice,1B,2,Nav,Easy,Easy,(phase) Reading Stop,0:00:10.52,4.115,NA,NA,
xxx,6/22/2015,17:50:28,Practice,1B,2,Nav,Easy,Easy,(btn) line 4,0:00:10.53,0.011,no,NA,
xxx,6/22/2015,17:50:28,Practice,1B,2,Nav,Easy,Easy,show confirmation,0:00:10.55,0.021,NA,NA,
xxx,6/22/2015,17:50:33,Practice,1B,3,Nav,Easy,Easy,(phase) Listening Start,0:00:15.58,5.026,NA,NA,
xxx,6/22/2015,17:50:33,Practice,1B,3,Nav,Easy,Easy,start trial 3,0:00:15.62,0.037,NA,NA,
xxx,6/22/2015,17:50:34,Practice,1B,3,Nav,Easy,Easy,(phase) Listening Stop,0:00:16.74,1.121,NA,NA,
xxx,6/22/2015,17:50:34,Practice,1B,3,Nav,Easy,Easy,(phase) Speaking Start,0:00:16.74,0.009,NA,NA,
